IP,User,Time,Method,URL,Status,Bytes,Referrer,UserAgent
198.51.100.246,alice,2025-10-06 14:36:16,GET,/blog,200,27283,https://facebook.com/,curl/7.68.0
198.51.100.207,-,2025-10-05 09:21:15,GET,/products/item2,301,41733,-,Nikto/2.1.6
198.51.100.237,-,2025-10-05 23:42:51,GET,/checkout,200,22299,https://bing.com/search?q=product,curl/7.68.0
203.0.113.5,alice,2025-10-05 06:30:18,GET,/login,404,45307,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.221,alice,2025-10-07 00:57:48,GET,/index.html,200,27787,-,curl/7.68.0
198.51.100.245,alice,2025-10-06 22:19:01,GET,/blog,200,16508,https://www.google.com/search?q=site,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.242,bob,2025-10-06 06:44:47,GET,/,200,38987,https://bing.com/search?q=product,sqlmap/1.5.5#stable
198.51.100.238,bob,2025-10-06 19:03:37,POST,/xmlrpc.php,200,24439,https://www.example.com/start.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
203.0.113.5,-,2025-10-05 04:18:16,GET,/about,200,19804,-,python-requests/2.28.1
198.51.100.226,-,2025-10-07 01:40:56,GET,/products,200,11351,https://www.example.com/start.html,sqlmap/1.5.5#stable
198.51.100.212,-,2025-10-05 03:31:42,GET,/products/item2,404,6680,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.246,-,2025-10-05 17:06:02,GET,/xmlrpc.php,200,48338,https://www.google.com/search?q=site,Nikto/2.1.6
198.51.100.208,-,2025-10-06 20:46:04,GET,/products,200,27786,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.247,-,2025-10-07 18:17:35,GET,/,200,41592,https://www.example.com/start.html,python-requests/2.28.1
198.51.100.99,bob,2025-10-07 10:27:32,GET,/admin.php,200,19530,-,Nikto/2.1.6
198.51.100.150,-,2025-10-07 18:27:01,POST,/checkout,200,47358,https://www.google.com/search?q=site,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.207,alice,2025-10-07 13:02:32,POST,/api/v1/login,200,18467,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.202,bob,2025-10-07 11:30:24,GET,/etc/passwd,200,24409,https://bing.com/search?q=product,Wget/1.20.3 (linux-gnu)
198.51.100.210,-,2025-10-06 11:08:43,GET,/index.html,200,37472,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.233,bob,2025-10-06 16:20:16,GET,/download.php?file=../../../../etc/passwd,200,28511,https://www.google.com/search?q=site,Wget/1.20.3 (linux-gnu)
198.51.100.231,bob,2025-10-07 04:03:49,POST,/logout,200,17942,https://facebook.com/,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.228,-,2025-10-06 18:16:49,GET,/products/item1,200,49148,https://bing.com/search?q=product,python-requests/2.28.1
198.51.100.223,alice,2025-10-07 19:15:55,GET,/search.php?q=phone,404,34564,https://www.google.com/search?q=site,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.205,-,2025-10-05 14:12:15,GET,/blog,200,44328,https://bing.com/search?q=product,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.235,bob,2025-10-05 10:09:53,GET,/products/item2,200,25839,https://www.google.com/search?q=site,curl/7.68.0
198.51.100.218,-,2025-10-05 06:38:24,GET,/products,200,20963,https://facebook.com/,python-requests/2.28.1
198.51.100.216,-,2025-10-07 21:43:31,GET,/,200,12896,https://bing.com/search?q=product,curl/7.68.0
198.51.100.228,-,2025-10-06 10:35:58,GET,/,200,11851,https://facebook.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
203.0.113.5,alice,2025-10-07 11:23:59,GET,/etc/passwd,404,44486,-,python-requests/2.28.1
198.51.100.247,-,2025-10-06 14:39:13,PUT,/products/item1,200,15263,-,curl/7.68.0
198.51.100.244,-,2025-10-07 23:49:00,POST,/,200,15978,https://www.example.com/start.html,curl/7.68.0
198.51.100.99,alice,2025-10-05 15:04:04,GET,/products/item2,200,3399,https://bing.com/search?q=product,Nikto/2.1.6
198.51.100.230,-,2025-10-05 18:53:02,GET,/products/item1,200,4801,https://www.google.com/search?q=site,Wget/1.20.3 (linux-gnu)
198.51.100.214,-,2025-10-05 17:28:56,POST,/products/item1,200,20925,https://facebook.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.227,bob,2025-10-07 02:13:54,GET,/blog,200,25846,-,Nikto/2.1.6
203.0.113.5,alice,2025-10-05 16:15:37,GET,/products/item1,200,27641,https://www.example.com/start.html,Wget/1.20.3 (linux-gnu)
198.51.100.235,-,2025-10-06 20:33:26,GET,/,404,10904,https://www.example.com/start.html,python-requests/2.28.1
203.0.113.5,-,2025-10-06 19:21:41,GET,/products/item1,403,43945,https://www.google.com/search?q=site,sqlmap/1.5.5#stable
198.51.100.233,-,2025-10-06 02:10:24,POST,/blog,404,11490,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.219,bob,2025-10-07 20:08:39,POST,/products/item2,200,8561,-,Nikto/2.1.6
198.51.100.233,-,2025-10-06 05:40:47,POST,/search.php?q=phone,200,47257,-,Nikto/2.1.6
198.51.100.231,alice,2025-10-05 05:53:26,GET,/blog,200,41853,-,Nikto/2.1.6
198.51.100.99,bob,2025-10-05 19:58:02,GET,/,200,9218,-,Wget/1.20.3 (linux-gnu)
203.0.113.45,bob,2025-10-07 09:32:37,GET,/index.html,200,21108,https://facebook.com/,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.239,-,2025-10-06 15:52:43,GET,/blog/post1,200,26345,-,sqlmap/1.5.5#stable
192.0.2.1,-,2025-10-06 06:11:23,GET,/products,301,32733,https://www.google.com/search?q=site,python-requests/2.28.1
198.51.100.246,bob,2025-10-05 16:15:17,GET,/,200,41065,https://facebook.com/,Wget/1.20.3 (linux-gnu)
198.51.100.210,bob,2025-10-07 19:30:11,GET,/.git/config,404,16454,https://www.google.com/search?q=site,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
192.0.2.1,-,2025-10-05 16:41:20,GET,/products/item1,200,5285,https://www.google.com/search?q=site,Wget/1.20.3 (linux-gnu)
198.51.100.150,-,2025-10-05 22:25:20,GET,/blog,302,40167,https://www.example.com/start.html,Wget/1.20.3 (linux-gnu)
198.51.100.239,-,2025-10-07 20:45:34,GET,/js/app.js,200,37927,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
198.51.100.248,alice,2025-10-05 05:58:29,GET,/logout,200,5946,https://www.example.com/start.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.228,bob,2025-10-06 10:36:24,HEAD,/etc/passwd,404,19700,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.200,bob,2025-10-05 06:00:56,GET,/,200,29776,https://facebook.com/,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
198.51.100.229,bob,2025-10-05 15:00:39,GET,/products,200,24626,-,sqlmap/1.5.5#stable
203.0.113.5,alice,2025-10-05 03:53:26,GET,/search.php?q=phone,200,35215,https://bing.com/search?q=product,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
198.51.100.214,bob,2025-10-07 23:33:06,POST,/products/item1,200,36402,https://www.google.com/search?q=site,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
198.51.100.231,-,2025-10-05 15:41:35,GET,/cgi-bin/test.cgi,200,7698,https://www.google.com/search?q=site,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
